company_id,company_name,short_description,batch,status,tags,cluster_kmeans,cluster_dbscan,tsne_x,tsne_y
525,StackMachine,Instant sandboxed server environments,Summer 2013,Inactive,"['developer-tools', 'devops', 'cloud-computing']",0,-1,8.716395,-21.584564
12582,Pair Team,Connecting underserved communities to high quality care,Summer 2019,Active,"['health-tech', 'workflow-automation', 'digital-health', 'healthcare', 'healthcare-it']",2,-1,2.407272,17.324175
29952,Ficra,"Real time, source of truth for every product screen and user flow",Summer 2024,Active,"['artificial-intelligence', 'b2b', 'workflow-automation', 'productivity', 'design-tools']",3,-1,-10.108581,-10.408979
30467,Opusense AI,AI for Field Inspection Reports,Spring 2025,Active,"['saas', 'construction', 'b2b']",3,-1,-2.7072272,-4.606222
21799,Conta Simples,All-in-one financial platform for latam Startups and SMBs.,Summer 2020,Active,"['fintech', 'latin-america', 'smb']",6,-1,-18.483818,9.344532
1553,No Lean Season,A bus ticket out of poverty,Winter 2017,Inactive,['nonprofit'],5,-1,-19.231668,4.610706
662,Checkr,People infrastructure for the future of work,Summer 2014,Active,"['compliance', 'hr-tech', 'api', 'enterprise-software', 'ai']",2,-1,-2.8709908,7.132254
29741,Dimely,AI agents for B2B SaaS Finance Teams,Summer 2024,Active,[],3,-1,-2.8489373,2.6169326
11948,Centaur Labs,Labeling medical data at scale,Winter 2019,Active,"['artificial-intelligence', 'crowdsourcing', 'data-labeling']",2,-1,1.7437421,9.633361
29324,PromptArmor,LLM Security and Compliance,Winter 2024,Active,"['artificial-intelligence', 'generative-ai', 'security', 'cybersecurity']",1,-1,7.0463605,3.770386
22903,Finary.com,The new wealth manager for Europe,Winter 2021,Active,"['fintech', 'investing', 'neobank']",6,-1,-14.417899,13.461043
25515,Whiz,"Transforming Finances, Maximizing Your Money Potential.",Winter 2022,Inactive,"['fintech', 'payments', 'consumer', 'neobank']",6,-1,-13.522142,13.224664
493,RADAR,RADAR is building technology to completely transform the in-store…,Winter 2013,Active,"['artificial-intelligence', 'retail-tech']",4,-1,-13.343172,-5.442844
25120,Elevate (formerly Bloom),US based USD accounts for non-US residents ,Winter 2022,Active,"['fintech', 'payments', 'consumer', 'neobank']",6,-1,-15.124645,10.401223
15,Amiato,The BI bridge for unstructured data. We automatically bridge the gap…,Winter 2012,Acquired,"['analytics', 'big-data']",3,-1,0.15000269,-2.3337595
22995,QuickNode,Tools & infra to build and scale high-quality blockchain applications.,Winter 2021,Active,"['developer-tools', 'saas', 'crypto-web3', 'api']",0,-1,15.032389,1.7224787
27809,EdgeBit,Autofix your software dependencies,Winter 2023,Acquired,"['devsecops', 'b2b', 'security']",4,-1,5.810863,2.4594736
12095,Upsolve,Helping low-income Americans overcome debt and rebuild credit at…,Winter 2019,Active,"['fintech', 'nonprofit', 'legaltech', 'consumer-finance']",6,-1,-0.935124,-11.7952
23357,Treinta,Digital ledger App for Latam microbusinesses,Winter 2021,Active,"['saas', 'b2b']",6,-1,-18.89273,9.612232
435,Profig,The phone system for businesses. Manage everything from your company…,Summer 2012,Inactive,['telecommunications'],4,-1,14.1475525,-15.86829
13185,Operator Labs,"Building protocols for the intelligent, decentralized web.",Winter 2020,Active,"['generative-ai', 'crypto-web3', 'data-engineering']",1,-1,13.236978,8.228896
27704,FlexDesk,One platform for corporate occupiers to manage their office portfolios,Winter 2023,Active,"['real-estate', 'b2b', 'hr-tech', 'proptech']",4,-1,-11.800817,-2.2479427
22752,ClipDrop,Turn regular mobile photos into professional product visuals,Winter 2021,Acquired,"['saas', 'computer-vision', 'design-tools']",5,-1,-11.511246,-7.648661
27816,OpenSight,AI-powered customer support automation for fast-growing companies,Winter 2023,Inactive,"['generative-ai', 'b2b', 'customer-success', 'customer-support']",3,-1,0.74057114,-11.251718
29124,Onward,Intelligent meeting automation for ambitious teams.,Summer 2023,Inactive,[],3,-1,10.617794,-15.264477
46,BarSense,Kid's first smartphone with web-based parental controls.,Winter 2012,Inactive,['kids'],4,-1,-7.354688,-22.789488
25449,Alixia,Targeting the Tumor Ecosystem to address cancer drug resistance.,Winter 2022,Active,"['biotech', 'therapeutics', 'drug-discovery', 'oncology', 'biotechnology']",7,-1,-3.8996522,22.777494
12073,Fuse,Unified API for financial data aggregators.,Winter 2019,Inactive,"['fintech', 'saas', 'b2b']",6,-1,-11.053137,5.4426627
405,HealthSherpa,Private sector Healthcare.gov. ,Summer 2012,Active,"['health-tech', 'health-insurance']",2,-1,-1.0478189,13.352155
30948,Lua Global Inc,"Self-Serve AI powered Sales, Support & Booking Agents",Fall 2025,Active,"['saas', 'b2b', 'retail-tech']",3,-1,3.8314466,-8.174358
30651,Alter,Secure access control and authorization platform for agent workflows,Summer 2025,Active,"['aiops', 'artificial-intelligence', 'developer-tools', 'devsecops', 'security']",1,-1,8.834689,2.1824477
27924,OutSail Technologies,"Revolutionary, Modern Wing Sails",Winter 2023,Inactive,"['logistics', 'climate', 'climatetech']",4,-1,3.911389,27.29057
914,GiveCampus,The fundraising platform for schools.,Summer 2015,Active,"['education', 'fintech', 'saas', 'b2b']",6,-1,-7.9669313,4.016907
642,OpenCurriculum,Helping K-12 teachers and school administrators build awesome…,Winter 2014,Active,"['artificial-intelligence', 'education']",0,-1,-9.3472395,-19.76393
24600,Algofi,Building the new financial system,Summer 2021,Inactive,['crypto-web3'],6,-1,12.8455715,8.298637
25757,AntWalk,An employee up-skilling platform for fast growing companies,Winter 2022,Inactive,"['education', 'elearning', 'enterprise']",3,-1,-5.106336,-15.132122
22677,GroMo,App for independent agents to sell financial products in India,Winter 2021,Active,"['fintech', 'insurance']",6,-1,-7.245132,12.593107
29271,DGI Apparel,Expedia for ordering blank apparel,Winter 2024,Inactive,[],5,-1,-6.289244,-1.657298
298,Popcuts,Popcuts is an online music store where fans participate in the…,Summer 2008,Inactive,"['marketplace', 'e-commerce', 'music']",5,-1,23.139763,5.19867
1731,Blueberry Pediatrics,24/7 pediatric clinic in every family's living room,Winter 2018,Active,"['consumer-health-services', 'health-tech', 'telehealth', 'pediatrics', 'digital-health']",2,-1,1.6648753,19.389925
25935,Topship,Flexport for African Merchants - Building the OS for Global Logistics,Winter 2022,Active,"['b2b', 'logistics', 'e-commerce', 'supply-chain']",5,-1,-16.072773,5.5782037
29501,Fume,We are building the AI Software Developer,Winter 2024,Active,"['artificial-intelligence', 'developer-tools', 'b2b']",1,-1,11.9438305,-4.072566
1277,SmartPath,Financial wellness for the middle class,Summer 2016,Active,['fintech'],6,-1,-11.606644,13.085365
30938,Imagine AI,AI agent that handles all of your B2B content needs,Fall 2025,Active,"['saas', 'b2b', 'sales']",3,-1,5.226834,-7.8289866
769,HigherMe,Helping restaurant employers find & hire better employees faster,Winter 2015,Acquired,"['saas', 'hr-tech', 'restaurant-tech']",5,-1,-2.7208083,7.615605
758,Cribspot,Tech-Enabled Real Estate Company (YC W15),Winter 2015,Inactive,"['real-estate', 'proptech']",4,-1,-8.921643,-2.2692256
29105,FlowiseAI,Open source GenAI development platform,Summer 2023,Acquired,"['artificial-intelligence', 'developer-tools', 'generative-ai', 'open-source']",1,-1,11.954359,-2.3605027
25746,Durioo,Streaming Platform for Muslim Children,Winter 2022,Active,"['entertainment', 'subscriptions']",5,-1,-6.1798053,-20.509533
25347,Perl Street,Financing the next-generation of infrastructure projects,Winter 2022,Active,['climate'],4,-1,-9.678286,17.452877
